[…]doet na das |  DAT
[…](n)scapen met |  MET
[…]iet daer neuen |  NEEF
[…]et an |  AAN
[…]onse here |  HEER
[…]et sere |  ZEER
[…]de eren in (d)e | XXX
[…](..ren) die coninc |  KONING
[…]e sere |  ZEER
[…]den here |  HEER
[…]ocht hem saen |  ZAAN
[…]was geuaen |  VANGEN
[…]den wille |  WIL
[…](nde) stille |  STIL
[…]daer was |  ZIJN
[…]te mede |  MEDE
[…](.) huge bi |  BIJ
[…](.)cob vri |  VRIJ
[…](.)lle alsict las |  LEZEN
[…]biscop was |  ZIJN
[…]ke alsict weet |  WETEN
[…](.) doet gereet |  GEREED
[…](…) te hant |  TEHAND
Want doe die coninc .i. hert soude iagen |  JAGER
Spranc die hert vter lagen |  LIGGEN
Daer een ridder na hem scoet |  SCHOOT
Ende scoet alsoe den coninc doet |  DOEN
Op enen anderen tijt oec mede |  MEDE
Daer hi lach ende sliep te stede |  STAD
Dochtem dat hi sach albloet |  BLOOT
Serpente ende diere onder sijn hoet |  HOEDEN
Ende hi sochte daer onder herde saen |  ZAAN
Ende vant .i. boec sonder waen |  WAAN
Dat matonis boec hiet |  HETEN
Ende alse vollike alse hijt siet |  ZIEN
Dat werelijc was so.p hijt | XXX
Ende wecher ende sliep ter seluer tijt |  TIJD
Het was van buten scone te siene |  ZIEN
Ende van binnen vol quader gesciene |  GESCHIEDEN
Van heidenen dingen (so) dat niet |  NIET
W[aer]dech was te siene iet |  IET
Enech heylics man bescede | XXX
Een broeder was oec daer mede |  DAARMEDE
Die durant was geheten dan |  DAN
Ende (h)i(e)t .i. die ic (…e…) goet can |  KUNNEN
Namaels so waer dese met |  MET
Te moes(.)loense abt geset |  ZETTEN
Ende vandaer ward hi biscop mede |  MEDE
Tote telosen indie stede |  STAD
Ende sere verheuen onder die liede |  LIEDEN
Desen biscop dicke gesciede |  GESCHIEDEN
Dat hi meneger (…)e dede |  DOEN
Daer men groet spot(…) mede |  MEDE
Daerne dabt huge dicke om scout |  SCHULD
Ende vermaende hem menechfout |  MENIGVOUD
Dat hi hem wachte de(s)e dinge |  DING
Tot dat ver(…)it sijn onderlinge |  ONDERLING
Een caplaen die ta(lre) stonde |  STOND
ginc vt sinen monde |  MOND
Bat desen biscop (…) here |  HEER
Sine hulpe wa(chte hi) sere |  ZEER
Ende hine wils niet geho(…) daer |  DAAR
Alse lange alse si (…)end(…) waer |  WAAR
Daerna vertelde dit siguitus | XXX
Den abt hugen die dinge aldus |  ALDUS
Ende hi geboet .vii. broedere daer toe |  DAARTOE
Datsi vasten souden doe |  TOEN
Ene weke ende […] doen |  DOEN
Ende (…)an desen .vii. met |  MET
Die (daer …) was (…) geset |  ZETTEN
Veronwaerde dat hi swigen soude |  ZULLEN
ende (d)at gebot also houde |  HOUD
(…waert) heuet die biscop mere |  MEER
geclaget ouer den genen sere |  ZEER
die niet en sweech daer ic af sprac |  SPREKEN
En(……)ie brac |  BREKEN
Dit horde die abt ende dede |  DOEN
hem anderwerf vasten .viii. dage mede |  MEDE
Ende sil(en)tie hem houden alsoe |  ALZO
Daer (.)a dit gedaen aldoe |  ALTOEN
So w(erd) ver(h)euen derde weruen |  WERF
Des biscops ziele te si(nen) bederuen |  BEDERVEN
I(n ……) dede |  DOEN
Dit (..)dacht hi ende sal(echede) |  ZALIGHEID
Dat altemale huge dede |  DOEN
Eeen die broeder steuen hiet |  HETEN
(..)e oude sonden gesciet |  GESCHIEDEN
dat hi hem (…) doet saen |  ZAAN
des ziele es tenen v(er…) | XXX
